,BrandName,Qty,Price
121,KING FISHER PREMIUM (5016BSG) 650ml,22,26422
122,HAYWARDS 5000 SUPER (5028BSG) 650ml,10,13010
123,OFFICER'S CHOICE RESERVE (0110NNP) 180ml,10,52040
124,OFFICER'S CHOICE RESERVE (0110QQP) 750ml,1,5501
125,SEAGRAM'S ROYAL STAG (0259PPG) 375ml,1,7402
126,SEAGRAM'S ROYAL STAG (0259QQG) 750ml,1,7501
127,SEAGRAM'S ROYAL STAG (0259NNG) 180ml,4,28816
128,KAY KAY FINE WHISKY (0673NNP) 180ml,1,3784
129,ROYAL CHALLENGE PREMIUM (5025BSG) 650ml,20,24020
130,BUDWEISER KING OF BEERS (5019BSG) 650ml,12,21612
131,KINGFISHER ULTRA MAX (6536BSG) 650ml,5,9505
132,KINGFISHER PREMIUM (5016BSG) 650ml,18,21618
133,KNOCKOUT HIGH PUNCH (5030BSG) 650ml,31,40331
134,BUDWEISER KING OF BEERS (5019APC) 500ml,4,11208
135,MCDOWELLS NO 1 LUXURY (0019NNG) 180ml,4,24016
136,SEAGRAM'S IMPERIAL BLUE (0258NNG) 180ml,4,24016
137,OFFICER'S CHOICE RESERVE (0110NNP) 180ml,4,20816
138,MCDOWELLS NO 1 LUXURY (0019QQG) 750ml,2,12602
139,MCDOWELLS NO 1 LUXURY (0019DDG) 90ml,2,11216
140,SEAGRAM'S IMPERIAL BLUE (0258DDG) 90ml,2,11216
141,SEAGRAM'S IMPERIAL BLUE (0258QQG) 750ml,2,12602
142,OFFICER'S CHOICE RESERVE (0110DDP) 90ml,2,11216
143,KING FISHER STRONG P (5017BSG),7,9107
144,KING FISHER PREMIUM (5016BSG),16,19216
145,MCDOWELLS NO 1 LUXUR (0019PPG),3,18606
146,SIGNATURE ULTRA PREM (0426PPG),1,12202
147,SEAGRAM'S ROYAL STAG (0259QQG),2,15002
148,MCDOWELLS NO 1 LUXUR (0019DDG),5,28040
149,KAY KAY FINE WHISKY (0673NNP),10,37840
150,MCDOWELLS NO 1 LUXUR (0019NNG),4,24016
151,KARJURA LAGER BEER,2,2402
152,KNOCKOUT HIGH PUNCH,5,6505
153,BUDWEISER MAGNUM PRE,3,5703
154,KARJURA STRONG BEER,8,10408
155,KING FISHER PREMIUM,20,24020
156,MCDOWELLS NO 1 LUXUR,2,12404
157,SEAGRAM'S ROYAL STAG,2,14408
158,SEAGRAM'S IMPERIAL BLUE,15,90060
159,KAY KAY FINE WHISKY,21,79464
160,KNOCKOUT HIGH PUNCH,22,28622
161,KING FISHER PREMIUM,36,43236
162,ROYAL CHALLENGE PREM,18,21618
163,BUDWEISER KING OF BE,9,25218
164,KINGFISHER ULTRA LAG,8,14408
165,KAY KAY FINE WHISKY,10,37840
166,SIGNATURE ULTRA PREM,1,12301
167,MCDOWELLS NO 1 LUXUR,4,24016
168,SEAGRAM'S IMPERIAL B,1,6301
169,SEAGRAM'S ROYAL STAG,1,7402
170,KNOCKOUT HIGH PUNCH,30,39030
171,HAYWARDS 5000 SUPER,10,13010
172,KING FISHER PREMIUM,2,2402
173,OFFICER`S CHOICE RES (90ml),4,22432
174,OFFICER`S CHOICE RES (180ml),4,20816
175,MCDOWELLS NO 1 LUXUR (90ml),4,22432
176,SEAGRAM`S ROYAL STAG,2,14804
177,MCDOWELLS NO 1 LUXUR (750ml),1,6301
178,8PM PREMIUM BLACK WH,1,7402
179,ICONIQ WHITE SELECT,1,6202
180,KAY KAY FINE WHISKY,5,18920
181,BUDWEISER KING OF BE,9,25218
182,KNOCKOUT HIGH PUNCH,13,16913
183,HAYWARDS 5000 SUPER,20,26020
184,KING FISHER PREMIUM,8,9608
185,MCDOWELLS NO 1 LUXUR,3,16824
186,MCDOWELLS NO 1 LUXUR,1,6202
187,SEAGRAM`S IMPERIAL B,1,6301
188,KAY KAY FINE WHISKY,4,15136
189,BLACK WHITE BLENDE,1,19101
190,SIGNATURE ULTRA PREM,2,24602
191,8PM PREMIUM BLACK WH,1,7204
192,KNOCKOUT HIGH PUNCH (5030BSG) 650ml,20,26020
193,HAYWARDS 5000 SUPER (5028BSG) 650ml,5,6505
194,BUDWEISER MAGNUM PRE (5031BSG) 650ml,10,19010
195,BUDWEISER KING OF BE (5019APC) 500ml,2,5604
196,KING FISHER STRONG P (5017BSG) 650ml,8,10408
197,SEAGRAM`S IMPERIAL B (0258NNG) 180ml,4,24016
198,OLD ADMIRAL SPECIAL (0045DDP) 90ml,2,9616
199,TWENTY ONE PLUS WHIS (1377QQG) 750ml,2,26402
200,SEAGRAM`S ROYAL STAG (0259QQG) 750ml,1,7501
201,8PM PREMIUM BLACK WH (0546QQG) 750ml,1,7501
202,MCDOWELLS NO 1 LUXUR (0019PPG) 375ml,1,6202
203,BREEZER GOLD TANGY C (1303GPG) 275ml,2,4004
204,KAY KAY FINE WHISKY (0673NNP) 180ml,6,22704
205,SEAGRAM`S IMPERIAL B (0258DDG) 90ml,4,22432
